target_id,Target,Lower [vg/μl],Upper [vg/μl],Lower info [vg/μl],Upper info [vg/μl]
FIX,FIX (TAK-748),17,2675,5,
HT2,Huntington (TAK-686),10,4690,5,
IDT,ID tag,15,3360,5,
FVIII-ITR,FVIII/ITR Duplex (TAK-754 and TAK-709),15,3360,5,
IDT-ITR,ID tag/ITR Duplex,15,3360,5,
ITR,ITR,15,3360,5,
FXN,FXN,15,3360,5,
